               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.022821,           0.0067786,                   0,             0.88878,             0.85714,               0.953,             0.58777,            0.026118,           0.0032984,                   0,           0.0097242,           0.0097242,           0.0097242
                 119,            0.021816,           0.0063037,                   0,             0.77514,             0.98641,             0.88444,             0.68832,            0.021039,            0.003609,                   0,           0.0097219,           0.0097219,           0.0097219
                 120,            0.019877,           0.0061823,                   0,             0.84409,             0.77882,               0.933,             0.78593,            0.016534,           0.0034325,                   0,           0.0097195,           0.0097195,           0.0097195
                 121,            0.020413,           0.0057428,                   0,             0.75174,                   1,             0.92389,             0.71089,            0.020998,           0.0034789,                   0,           0.0097171,           0.0097171,           0.0097171
                 122,            0.018915,           0.0061545,                   0,             0.76958,                   1,             0.92389,             0.73587,            0.016457,           0.0033749,                   0,           0.0097148,           0.0097148,           0.0097148
                 123,            0.020151,           0.0066701,                   0,             0.77171,                   1,             0.94389,             0.63723,            0.025178,           0.0036465,                   0,           0.0097124,           0.0097124,           0.0097124
                 124,            0.018411,           0.0047213,                   0,             0.96193,             0.85714,             0.96389,             0.83263,            0.016121,           0.0028217,                   0,           0.0097101,           0.0097101,           0.0097101
                 125,            0.023899,           0.0082607,                   0,             0.92452,             0.85714,             0.96389,             0.76665,            0.018694,           0.0033765,                   0,           0.0097077,           0.0097077,           0.0097077
                 126,            0.021413,           0.0058871,                   0,             0.77687,             0.99532,             0.96389,             0.63891,            0.020823,           0.0035683,                   0,           0.0097054,           0.0097054,           0.0097054
                 127,            0.017678,           0.0055216,                   0,             0.97786,             0.85714,             0.96389,             0.71283,            0.020423,           0.0033072,                   0,            0.009703,            0.009703,            0.009703
                 128,            0.023021,           0.0075243,                   0,             0.86421,                   1,              0.9775,              0.6363,            0.021776,           0.0028302,                   0,           0.0097006,           0.0097006,           0.0097006
                 129,            0.020673,           0.0051042,                   0,             0.86481,                   1,              0.9775,             0.75485,            0.015016,           0.0024639,                   0,           0.0096983,           0.0096983,           0.0096983
